Location,median_income
"Flagler County, Florida: Summary level: 050, state:12> county:035",58327
"Franklin County, Florida: Summary level: 050, state:12> county:037",52164
"Gulf County, Florida: Summary level: 050, state:12> county:045",55866
"Hamilton County, Florida: Summary level: 050, state:12> county:047",42018
"Liberty County, Florida: Summary level: 050, state:12> county:077",41914
"Osceola County, Florida: Summary level: 050, state:12> county:097",51905
"Sumter County, Florida: Summary level: 050, state:12> county:119",65452
"Walton County, Florida: Summary level: 050, state:12> county:131",62284
"Gadsden County, Florida: Summary level: 050, state:12> county:039",47277
"Holmes County, Florida: Summary level: 050, state:12> county:059",48609
"Jefferson County, Florida: Summary level: 050, state:12> county:065",59245
"Lee County, Florida: Summary level: 050, state:12> county:071",61847
"Marion County, Florida: Summary level: 050, state:12> county:083",50922
"Hardee County, Florida: Summary level: 050, state:12> county:049",46163
"Collier County, Florida: Summary level: 050, state:12> county:021",72804
"Okeechobee County, Florida: Summary level: 050, state:12> county:093",45713
"Orange County, Florida: Summary level: 050, state:12> county:095",60123
"Alachua County, Florida: Summary level: 050, state:12> county:001",67459
"District of Columbia, District of Columbia: Summary level: 050, state:11> county:001",95995
"Pasco County, Florida: Summary level: 050, state:12> county:101",58751
"Gilchrist County, Florida: Summary level: 050, state:12> county:041",54361
"Highlands County, Florida: Summary level: 050, state:12> county:055",44219
"Suwannee County, Florida: Summary level: 050, state:12> county:121",48666
"DeSoto County, Florida: Summary level: 050, state:12> county:027",40174
"Calhoun County, Florida: Summary level: 050, state:12> county:013",45081
"Charlotte County, Florida: Summary level: 050, state:12> county:015",56293
"Columbia County, Florida: Summary level: 050, state:12> county:023",55257
"Dixie County, Florida: Summary level: 050, state:12> county:029",42023
"Martin County, Florida: Summary level: 050, state:12> county:085",73018
"Putnam County, Florida: Summary level: 050, state:12> county:107",41419
"Sarasota County, Florida: Summary level: 050, state:12> county:115",69898
"Union County, Florida: Summary level: 050, state:12> county:125",46773
"Clay County, Georgia: Summary level: 050, state:13> county:061",35214
"Echols County, Georgia: Summary level: 050, state:13> county:101",49931
"Glynn County, Georgia: Summary level: 050, state:13> county:127",58541
"DeKalb County, Georgia: Summary level: 050, state:13> county:089",65702
"Haralson County, Georgia: Summary level: 050, state:13> county:143",53944
"Lincoln County, Georgia: Summary level: 050, state:13> county:181",49007
"Jackson County, Georgia: Summary level: 050, state:13> county:157",67251
"Jefferson County, Georgia: Summary level: 050, state:13> county:163",41341
"Jones County, Georgia: Summary level: 050, state:13> county:169",65437
"Murray County, Georgia: Summary level: 050, state:13> county:213",48447
"Muscogee County, Georgia: Summary level: 050, state:13> county:215",55496
"Pulaski County, Georgia: Summary level: 050, state:13> county:235",49448
"Rabun County, Georgia: Summary level: 050, state:13> county:241",51250
"Stewart County, Georgia: Summary level: 050, state:13> county:259",28355
"Towns County, Georgia: Summary level: 050, state:13> county:281",51695
"Treutlen County, Georgia: Summary level: 050, state:13> county:283",52170
"Turner County, Georgia: Summary level: 050, state:13> county:287",46667
"Irwin County, Georgia: Summary level: 050, state:13> county:155",48776
"Atkinson County, Georgia: Summary level: 050, state:13> county:003",35357
"Appling County, Georgia: Summary level: 050, state:13> county:001",46707
"Bacon County, Georgia: Summary level: 050, state:13> county:005",46307
"Brantley County, Georgia: Summary level: 050, state:13> county:025",43177
"Whitfield County, Georgia: Summary level: 050, state:13> county:313",51731
"Calhoun County, Georgia: Summary level: 050, state:13> county:037",37297
"Macon County, Georgia: Summary level: 050, state:13> county:193",39312
"Troup County, Georgia: Summary level: 050, state:13> county:285",53500
"Bibb County, Georgia: Summary level: 050, state:13> county:021",51156
"Harris County, Georgia: Summary level: 050, state:13> county:145",82276
"Marion County, Georgia: Summary level: 050, state:13> county:197",50000
"Schley County, Georgia: Summary level: 050, state:13> county:249",45379
"Worth County, Georgia: Summary level: 050, state:13> county:321",47626
"Bleckley County, Georgia: Summary level: 050, state:13> county:023",50321
"Dooly County, Georgia: Summary level: 050, state:13> county:093",45918
"Evans County, Georgia: Summary level: 050, state:13> county:109",49136
"Franklin County, Georgia: Summary level: 050, state:13> county:119",49341
"Webster County, Georgia: Summary level: 050, state:13> county:307",44863
"Effingham County, Georgia: Summary level: 050, state:13> county:103",73641
"Lamar County, Georgia: Summary level: 050, state:13> county:171",53942
"Glascock County, Georgia: Summary level: 050, state:13> county:125",60291
"Emanuel County, Georgia: Summary level: 050, state:13> county:107",41129
"Quitman County, Georgia: Summary level: 050, state:13> county:239",34441
"Chatham County, Georgia: Summary level: 050, state:13> county:051",64025
"Liberty County, Georgia: Summary level: 050, state:13> county:179",47242
"Jasper County, Georgia: Summary level: 050, state:13> county:159",47366
"Johnson County, Georgia: Summary level: 050, state:13> county:167",48118
"Lanier County, Georgia: Summary level: 050, state:13> county:173",45959
"Madison County, Georgia: Summary level: 050, state:13> county:195",54699
"Mitchell County, Georgia: Summary level: 050, state:13> county:205",40730
"Seminole County, Georgia: Summary level: 050, state:13> county:253",42725
"Tift County, Georgia: Summary level: 050, state:13> county:277",47042
"Twiggs County, Georgia: Summary level: 050, state:13> county:289",40072
"Polk County, Georgia: Summary level: 050, state:13> county:233",49940
"Talbot County, Georgia: Summary level: 050, state:13> county:263",46144
"Taylor County, Georgia: Summary level: 050, state:13> county:269",35714
"Terrell County, Georgia: Summary level: 050, state:13> county:273",38164
"Thomas County, Georgia: Summary level: 050, state:13> county:275",50727
"Toombs County, Georgia: Summary level: 050, state:13> county:279",47341
"Wilkinson County, Georgia: Summary level: 050, state:13> county:319",50347
"Ben Hill County, Georgia: Summary level: 050, state:13> county:017",37236
"Burke County, Georgia: Summary level: 050, state:13> county:033",42050
"Catoosa County, Georgia: Summary level: 050, state:13> county:047",65053
